FentyMascara,,,,,,,,
web-scraper-order,web-scraper-start-url,ReviewLink,ReviewLink-href,Pagination,Title,Date,UserID,ReviewText
1738781940-38,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,I absolutely love this mascara!😍,27 d ago,luckygirlmalone,"I absolutely love this mascara! Great for long lashes, especially when you use a curler. Packaging feels luxurious. Very easy to remove at the end of wearing.😍"
1738781940-39,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Love it,27 d ago,JennaLady,"Fenty beauty has come with some beautiful products, and this adds to the collection. Hella thic mascara is black. Definitely gives you a curl and lengthen them.It smells like glue to me but doesn't have a scent. This is reasonable priced and I will buy it again."
1738781940-40,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Gives volume but smudges,28 d ago,MoonPetal21,"This mascara was able to give my pin straight Asian lashes some volume and was able to retain the curl. I was only able to use 1 coat before it became too clumpy. This mascara does transfer to your upper lids and does not dry down very quickly. For those of you that prefer a dryer mascara, this is not for you. It is a very wet formula. It does tend to smudge throughout the day/night and is not long wearing. But, it does remove easily with little effort. I was given this product free for testing and review."
1738781940-41,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Nice shade of black,28 d ago,greeneyes1988,I received the fenty beauty by Rihanna fenty hella thicc mascara and it did not disappoint. I love a dark black mascara. It applied well and is a great deal. I would recommend!
1738781940-42,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Easy application,28 d ago,5NaturalBeauty,This Fenty Hella Thick Mascara is easy to apply and goes on evenly due to the applicator. It has become my favorite mascara because you can add multiple layers without it clumping. I use it in my natural lashes so I use two applications. When I wear it in falsies I only use one layer. The price is comparable to other designer mascaras and provide better benefits. I recommend others to try.
1738781940-43,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Great mascara,28 d ago,124makeuplover,I love this mascara. It was very great. There was no cent. It’s a little expensive but the application goes on smooth not clumpy and overall pretty good.
1738781940-44,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,NO CLUMPING!,28 d ago,MateosMama2020,Fenty Beauty does it again with another fabulous product. The packaging is super cute like always with all of Rihanna’s products.  The mascara doesn’t clump so it’s a perfect everyday mascara.
1738781940-45,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,i love it,28 d ago,AabiJimru,"I have long eyelashes but without a curl and this mascara is one of the best I have tried since it does not lower the curl, separates them very well and does not leave clumps."
1738781940-46,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Okayyyyy lashes!,29 d ago,deej223,Okay RiRi! I usually don’t have eyelashes that are visible and wow! They look huge! It smelled nice and didn’t have any clumping. The box was cute and it was very easy to apply I am a fenty girl now 🖤
1738781940-47,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product,1.2K,https://www.sephora.com/product/fenty-hella-thicc-volumizing-mascara-P505055?skuId=2656130&icid2=products%20grid:p505055:product#ratings-reviews-container,,Nice Mascara,29 d ago,LilBit72,"The mascara is nice, even with just 1 coat. I'm typically a 2 coat girl, so it's even better with more than 1, and my lashes are fuller. The wand is the type I like to use, which is perfect for me!"
